Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_us_desti_principal,Concepte,Nombre
2023,1,Ciutat Vella,1,el Raval,11,Turisme i hostaleria,Valor_€,1632293.43
2023,1,Ciutat Vella,1,el Raval,11,Habitatge,Valor_€,77346707.89
2023,1,Ciutat Vella,1,el Raval,11,Esportiu,Valor_€,2239950.3
2023,1,Ciutat Vella,1,el Raval,11,Aparcaments,Valor_€,773870.23
2023,1,Ciutat Vella,1,el Raval,11,Comerç,Valor_€,8091339.24
2023,1,Ciutat Vella,1,el Raval,11,Oficines,Valor_€,2060222.59
2023,1,Ciutat Vella,1,el Raval,11,Magatzem,Valor_€,2624015.75
2023,1,Ciutat Vella,1,el Raval,11,Espectacles,Valor_€,307061.27
2023,1,Ciutat Vella,1,el Raval,11,Religiós,Valor_€,1127778.94
2023,1,Ciutat Vella,1,el Raval,12,Oficines,Superfície_m2,1306
2023,1,Ciutat Vella,1,el Raval,12,Magatzem,Superfície_m2,569
2023,1,Ciutat Vella,1,el Raval,12,Aparcaments,Superfície_m2,2468
2023,1,Ciutat Vella,1,el Raval,12,Ensenyament i cultura,Superfície_m2,1855
2023,1,Ciutat Vella,1,el Raval,12,Comerç,Superfície_m2,4556
2023,1,Ciutat Vella,1,el Raval,12,Habitatge,Superfície_m2,59690
2023,1,Ciutat Vella,1,el Raval,12,Religiós,Superfície_m2,2446
2023,1,Ciutat Vella,1,el Raval,12,Indústria,Superfície_m2,234
2023,1,Ciutat Vella,1,el Raval,12,Oficines,Nombre,15
2023,1,Ciutat Vella,1,el Raval,12,Magatzem,Nombre,13
2023,1,Ciutat Vella,1,el Raval,12,Aparcaments,Nombre,89
2023,1,Ciutat Vella,1,el Raval,12,Ensenyament i cultura,Nombre,11
2023,1,Ciutat Vella,1,el Raval,12,Comerç,Nombre,76
2023,1,Ciutat Vella,1,el Raval,12,Habitatge,Nombre,1058
2023,1,Ciutat Vella,1,el Raval,12,Religiós,Nombre,6
